title,keywords,session_year,supervisor_name,category
A Descriptive Analysis of Coverage and Equity of Childhood Vaccination Services in Hard-to-Reach Areas of Osun State Among Residents of Ife South Local Government,"childhood vaccination, coverage, equity, hard-to-reach, Osun State",2017,Dr. Chukwu,Maternal & Child Health
Community-Based Study on Under-Five Malnutrition Prevalence and Its Relationship with Household Food Security in Nigeria Among Residents of Osogbo Local Government,"malnutrition, under-five, food security, household, Nigeria",2015,Prof. Adeleke,Maternal & Child Health
Epidemiological Study of Eye Diseases and Visual Impairment Among Adults in Rural Osun,"eye diseases, visual impairment, adults, rural, Osun",2020,Dr. Okonkwo,Epidemiology
Hospital-Based Assessment of Prevalence of Hepatitis C Virus Antibodies Among Residents of Ife North Local Government,"hepatitis C, prevalence, antibodies, surgical wards, Osogbo",2021,Prof. Onyeka,Infectious Diseases
Comparative Study of Prevalence of Overweight and Obesity Among Residents of Ede Local Government,"overweight, obesity, adolescents, secondary school, Osogbo",2018,Dr. Okonkwo,Epidemiology
Comparative Study of Review of Immunization Policy Compliance and Vaccination Coverage in Osun State Communities Among Residents of Ilesha Local Government,"immunization policy, compliance, vaccination coverage, Osun, communities",2019,Dr. Adeyemi,Health Policy
Longitudinal Investigation of Impact of Free Maternal Health Policy on Antenatal Care Utilization in Osun State Nigeria Among Residents of Ejigbo Local Government,"maternal health policy, antenatal care, utilization, free health, Osun",2021,Dr. Folarin,Health Policy
Comparative Study of Prevalence of Anaemia and Associated Factors Among Residents of Boripe Local Government,"anaemia, pregnant women, prevalence, Ijesa Zone, Nigeria",2017,Dr. Igwe,Epidemiology
Hospital-Based Assessment of Factors Associated with Recurrent Malaria Episodes Among Residents of Ilesha Local Government,"recurrent malaria, under-five, risk factors, Osun State, episodes",2018,Prof. Ogunleye,Infectious Diseases
A Descriptive Analysis of Solid Waste Management Practices and Health Implications in Osogbo Urban Local Government Area Among Residents of Boripe Local Government,"solid waste, management, health implications, Osogbo, urban",2022,Dr. Akindele,Environmental Health
A Descriptive Analysis of Application of Logistic Regression in Predicting Malaria Risk Factors Among Residents of Iwo Local Government,"logistic regression, malaria risk, prediction, children, biostatistics",2018,Prof. Eze,Biostatistics
A Descriptive Analysis of Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities Among Residents of Ilesha Local Government,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2016,Prof. Okafor,Biostatistics
A Descriptive Analysis of Household Air Quality Monitoring and Respiratory Outcomes in Low-Income Areas of Osogbo Nigeria Among Residents of Ife North Local Government,"household air quality, respiratory outcomes, low-income, monitoring, Osogbo",2015,Prof. Adebayo,Environmental Health
Longitudinal Investigation of Anemia in Pregnancy Prevalence and Its Effect on Birth Outcomes in Southwest Nigerian Hospitals Among Residents of Iwo Local Government,"anaemia in pregnancy, birth outcomes, Southwest Nigeria, hospitals, prevalence",2017,Prof. Adesanya,Maternal & Child Health
A Descriptive Analysis of Receiver Operating Characteristic Curve Analysis for Predicting Severe Malaria in Children Nigeria Among Residents of Ife East Local Government,"ROC curve, severe malaria, prediction, children, Nigeria",2019,Dr. Salawu,Biostatistics
A Descriptive Analysis of Sanitation Conditions and Hygiene Practices in Public Primary Schools of Osun State Nigeria Among Residents of Iwo Local Government,"sanitation, hygiene, primary schools, public schools, Osun State",2018,Prof. Adeleke,Environmental Health
Assessment of Exclusive Breastfeeding Practices and Infant Nutritional Outcomes in Osun State,"exclusive breastfeeding, infant nutrition, practices, Osun State, outcomes",2016,Prof. Nwosu,Maternal & Child Health
Hospital-Based Assessment of Nutritional Status and Cognitive Development Among Residents of Boripe Local Government,"nutritional status, cognitive development, primary school, children, Osun",2022,Dr. Abiodun,Maternal & Child Health
Longitudinal Investigation of Incidence and Distribution of Typhoid Fever Cases Reported in UNIOSUN Teaching Hospital Among Residents of Ife East Local Government,"typhoid fever, incidence, hospital, distribution, surveillance",2020,Prof. Adebayo,Epidemiology
Incidence and Distribution of Typhoid Fever Cases Reported in UNIOSUN Teaching Hospital,"typhoid fever, incidence, hospital, distribution, surveillance",2015,Dr. Nwachukwu,Epidemiology
Comparative Study of Epidemiological Assessment of Childhood Pneumonia Cases in UNIOSUN Teaching Hospital Outpatients Among Residents of Ife South Local Government,"pneumonia, childhood, epidemiology, teaching hospital, outpatients",2020,Prof. Afolabi,Epidemiology
Spatial Analysis of Malaria Incidence Using Geographic Information Systems in Osun State,"spatial analysis, GIS, malaria incidence, Osun State, geographic",2015,Dr. Nnamdi,Biostatistics
Comparative Study of Gonorrhoea and Syphilis Co-Infection Prevalence Among Residents of Ejigbo Local Government,"gonorrhoea, syphilis, co-infection, antenatal clinic, Osogbo",2018,Dr. Nnamdi,Infectious Diseases
Comparative Study of Antiretroviral Therapy Adherence and Viral Load Suppression Among Residents of Ejigbo Local Government,"antiretroviral therapy, adherence, viral load, HIV patients, Osun State",2015,Dr. Akindele,Infectious Diseases
Longitudinal Investigation of Chemical Pesticide Use Patterns and Chronic Health Effects Among Residents of Ede Local Government,"pesticide, chemical exposure, agricultural workers, chronic health, Osun",2018,Dr. Agboola,Environmental Health
Community-Based Study on Multilevel Modelling of Determinants of Child Mortality in Southwest Nigerian Communities Among Residents of Ede Local Government,"multilevel modelling, child mortality, determinants, Southwest Nigeria, biostatistics",2016,Prof. Adeleke,Biostatistics
Comparative Study of Knowledge and Practice of Family Planning Methods Among Residents of Ife North Local Government,"family planning, knowledge, practice, married women, Ife Central",2015,Dr. Akindele,Maternal & Child Health
Longitudinal Investigation of Policy Implementation Fidelity of the Integrated Disease Surveillance Response System in Nigeria Among Residents of Ife East Local Government,"IDSR, policy implementation, disease surveillance, fidelity, Nigeria",2021,Prof. Adesanya,Health Policy
Hospital-Based Assessment of Developing a Predictive Scoring Tool for Maternal Complications Using Routine Obstetric Data Nigeria Among Residents of Ejigbo Local Government,"predictive scoring, maternal complications, routine data, obstetric, Nigeria",2019,Dr. Igwe,Biostatistics
A Cross-Sectional Study of Mercury Exposure and Health Risk Assessment Among Residents of Ejigbo Local Government,"mercury exposure, gold mining, health risk, artisanal, Osun State",2019,Prof. Afolabi,Environmental Health
Hospital-Based Assessment of Community Perception of Caesarean Section and Its Effect on Surgical Birth Rate in Osun State Among Residents of Ejigbo Local Government,"caesarean section, community perception, surgical birth rate, Osun, Nigeria",2015,Prof. Adeleke,Maternal & Child Health
Comparative Study of Tuberculosis Treatment Default Rate and Associated Factors in DOTS Centres Osun State Nigeria Among Residents of Boripe Local Government,"tuberculosis, treatment default, DOTS, Osun State, associated factors",2019,Prof. Ogunleye,Infectious Diseases
Community-Based Study on Prevalence and Genotyping of Human Papillomavirus Among Residents of Ejigbo Local Government,"human papillomavirus, cervical cancer, genotyping, screening, prevalence",2020,Prof. Bankole,Infectious Diseases
Longitudinal Investigation of Assessment of Toilet Facilities Adequacy and Sanitation-Related Diseases in Rural Osun Communities Among Residents of Ife North Local Government,"toilet facilities, sanitation, rural, diseases, assessment",2019,Prof. Eze,Environmental Health
Burden and Distribution of Schistosomiasis Among School-Age Children in Rural Osun Communities,"schistosomiasis, children, distribution, burden, rural",2021,Prof. Eze,Epidemiology
Retrospective Review of Epidemiology of Salmonella Infections and Outbreak Investigation in Osun State Communities Among Residents of Ife North Local Government,"Salmonella, infections, outbreak investigation, Osun State, epidemiology",2017,Dr. Oluwaseun,Infectious Diseases
Community-Based Study on Evaluation of Community Health Workers Policy and Its Impact on Rural Health Outcomes Among Residents of Ilesha Local Government,"community health workers, policy evaluation, rural health, outcomes",2022,Prof. Adewale,Health Policy
Retrospective Review of Disease Burden of Sickle Cell Disorder Among Residents of Osogbo Local Government,"sickle cell, disease burden, university students, UNIOSUN",2019,Dr. Oluwaseun,Epidemiology
Retrospective Review of Maternal Mortality Ratio and Causes of Death in Osun State Teaching Hospitals from 2015 to 2020 Among Residents of Ilesha Local Government,"maternal mortality, causes of death, teaching hospital, Osun State, ratio",2022,Dr. Salawu,Maternal & Child Health
Comparative Study of Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities Among Residents of Ilesha Local Government,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2015,Prof. Onyeka,Biostatistics
Evaluation of Community Health Workers Policy and Its Impact on Rural Health Outcomes,"community health workers, policy evaluation, rural health, outcomes",2016,Prof. Bankole,Health Policy
A Descriptive Analysis of Multilevel Modelling of Determinants of Child Mortality in Southwest Nigerian Communities Among Residents of Ife North Local Government,"multilevel modelling, child mortality, determinants, Southwest Nigeria, biostatistics",2018,Prof. Ogunleye,Biostatistics
Comparative Study of Gonorrhoea and Syphilis Co-Infection Prevalence Among Residents of Ilesha Local Government,"gonorrhoea, syphilis, co-infection, antenatal clinic, Osogbo",2021,Prof. Obiora,Infectious Diseases
An Exploratory Analysis of Contact Tracing Effectiveness and Outcomes in Tuberculosis Case Detection in Osun State Nigeria Among Residents of Ejigbo Local Government,"contact tracing, tuberculosis, case detection, outcomes, Osun State",2020,Dr. Akindele,Infectious Diseases
Hospital-Based Assessment of Epidemiological Profile of Diabetes Mellitus Patients Attending Primary Healthcare Centers in Osun Among Residents of Osogbo Local Government,"diabetes mellitus, epidemiology, primary healthcare, Osun State",2020,Prof. Fasola,Epidemiology
Longitudinal Investigation of Receiver Operating Characteristic Curve Analysis for Predicting Severe Malaria in Children Nigeria Among Residents of Ede Local Government,"ROC curve, severe malaria, prediction, children, Nigeria",2019,Prof. Afolabi,Biostatistics
A Descriptive Analysis of Factor Analysis of Health System Barriers to Maternal Healthcare Utilization in Rural Osun State Among Residents of Ife South Local Government,"factor analysis, health system barriers, maternal healthcare, rural, Osun",2020,Prof. Adewale,Biostatistics
Time Series Analysis of Seasonal Malaria Trends in Osun State Using ARIMA Models,"time series, ARIMA, seasonal malaria, trends, Osun State",2016,Dr. Agboola,Biostatistics
A Descriptive Analysis of Survival Analysis of Time-to-Death Among Residents of Ife East Local Government,"survival analysis, HIV, antiretroviral therapy, time-to-death, Osun State",2017,Prof. Fasola,Biostatistics
Community-Based Study on Factors Associated with Recurrent Malaria Episodes Among Residents of Ife South Local Government,"recurrent malaria, under-five, risk factors, Osun State, episodes",2018,Prof. Emeka,Infectious Diseases
Under-Five Malnutrition Prevalence and Its Relationship with Household Food Security in Nigeria,"malnutrition, under-five, food security, household, Nigeria",2015,Prof. Adebayo,Maternal & Child Health
Longitudinal Investigation of Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities Among Residents of Ife South Local Government,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2015,Dr. Olayinka,Biostatistics
