title,keywords,session_year,supervisor_name,category
Comparative Study of Epidemiological Profile of Diabetes Mellitus Patients Attending Primary Healthcare Centers in Osun Among Residents of Ejigbo Local Government,"diabetes mellitus, epidemiology, primary healthcare, Osun State",2016,Dr. Okonkwo,Epidemiology
Hospital-Based Assessment of Evaluation of Food Safety Practices in Open-Air Markets and Restaurants in Osogbo Metropolis Among Residents of Ife East Local Government,"food safety, open-air markets, restaurants, evaluation, Osogbo",2016,Prof. Onyeka,Environmental Health
Community-Based Study on Developing a Predictive Scoring Tool for Maternal Complications Using Routine Obstetric Data Nigeria Among Residents of Osogbo Local Government,"predictive scoring, maternal complications, routine data, obstetric, Nigeria",2016,Dr. Oluwaseun,Biostatistics
Longitudinal Investigation of Mercury Exposure and Health Risk Assessment Among Residents of Ilesa Local Government,"mercury exposure, gold mining, health risk, artisanal, Osun State",2015,Prof. Adebayo,Environmental Health
Longitudinal Investigation of Indoor Air Pollution from Biomass Fuel Use and Respiratory Health Among Residents of Ilesa Local Government,"indoor air pollution, biomass fuel, respiratory health, women, rural",2021,Dr. Salawu,Environmental Health
Longitudinal Investigation of Sanitation Conditions and Hygiene Practices in Public Primary Schools of Osun State Nigeria Among Residents of Ede Local Government,"sanitation, hygiene, primary schools, public schools, Osun State",2021,Prof. Ogunleye,Environmental Health
Longitudinal Investigation of Vector Breeding Site Assessment and Malaria Risk in Flood-Prone Areas of Osun State Nigeria Among Residents of Ife South Local Government,"vector breeding, malaria risk, flood-prone, Osun State, assessment",2016,Prof. Emeka,Environmental Health
Hospital-Based Assessment of Knowledge and Practice of Family Planning Methods Among Residents of Ife East Local Government,"family planning, knowledge, practice, married women, Ife Central",2022,Prof. Nwosu,Maternal & Child Health
An Exploratory Analysis of Obstetric Complications and Emergency Referral Patterns at UNIOSUN Teaching Hospital Osogbo Among Residents of Iwo Local Government,"obstetric complications, emergency referral, UNIOSUN, teaching hospital, Osogbo",2022,Dr. Folarin,Maternal & Child Health
Comparative Study of Gestational Diabetes Prevalence and Management Practices Among Residents of Ife North Local Government,"gestational diabetes, prevalence, management, pregnant women, Osogbo",2020,Prof. Emeka,Maternal & Child Health
Comparative Study of Chemical Pesticide Use Patterns and Chronic Health Effects Among Residents of Iwo Local Government,"pesticide, chemical exposure, agricultural workers, chronic health, Osun",2015,Dr. Akindele,Environmental Health
Longitudinal Investigation of Prevalence of Anaemia and Associated Factors Among Residents of Ejigbo Local Government,"anaemia, pregnant women, prevalence, Ijesa Zone, Nigeria",2020,Prof. Eze,Epidemiology
Community-Based Study on Factors Influencing Insecticide-Treated Net Use Among Residents of Ilesha Local Government,"insecticide-treated net, household, malaria prevention, rural, Osun",2017,Prof. Adewale,Infectious Diseases
Retrospective Review of Receiver Operating Characteristic Curve Analysis for Predicting Severe Malaria in Children Nigeria Among Residents of Ilesha Local Government,"ROC curve, severe malaria, prediction, children, Nigeria",2015,Prof. Nwosu,Biostatistics
Community-Based Study on Principal Component Analysis of Socioeconomic Determinants of Health Outcomes in Southwest Nigeria Among Residents of Ede Local Government,"principal component analysis, socioeconomic determinants, health outcomes, Nigeria",2019,Prof. Emeka,Biostatistics
Gender-Responsive Health Policy Analysis and Women Empowerment in Osun State Communities,"gender-responsive, health policy, women empowerment, Osun, analysis",2016,Dr. Nwachukwu,Health Policy
Mixed-Effects Modelling of Longitudinal Blood Pressure Data Among Hypertensive Patients in Osogbo,"mixed-effects model, longitudinal, blood pressure, hypertension, Osogbo",2020,Prof. Adeoti,Biostatistics
A Cross-Sectional Study of Health Financing Strategies and Their Effect on Out-of-Pocket Expenditure in Osun State Among Residents of Ilesa Local Government,"health financing, out-of-pocket, expenditure, Osun State, strategy",2021,Prof. Okafor,Health Policy
A Descriptive Analysis of National Health Act Implementation Status and Implications for Healthcare Delivery in Nigeria Among Residents of Iwo Local Government,"National Health Act, implementation, healthcare delivery, Nigeria, implications",2020,Dr. Chukwu,Health Policy
An Exploratory Analysis of Nutritional Status and Cognitive Development Among Residents of Osogbo Local Government,"nutritional status, cognitive development, primary school, children, Osun",2018,Dr. Babatunde,Maternal & Child Health
An Exploratory Analysis of Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities Among Residents of Ife South Local Government,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2018,Dr. Oluwaseun,Biostatistics
Comparative Study of Structural Equation Modelling of Social Determinants Affecting Health Outcomes in Osun State Nigeria Among Residents of Ede Local Government,"structural equation modelling, social determinants, health outcomes, Osun, Nigeria",2020,Prof. Bankole,Biostatistics
Under-Five Malnutrition Prevalence and Its Relationship with Household Food Security in Nigeria,"malnutrition, under-five, food security, household, Nigeria",2022,Prof. Afolabi,Maternal & Child Health
Determinants of Skilled Birth Attendance Utilization Among Parturient Women in Osun State Nigeria,"skilled birth attendance, determinants, parturient women, Osun State",2015,Dr. Olayinka,Maternal & Child Health
Hospital-Based Assessment of Structural Equation Modelling of Social Determinants Affecting Health Outcomes in Osun State Nigeria Among Residents of Ilesha Local Government,"structural equation modelling, social determinants, health outcomes, Osun, Nigeria",2018,Dr. Oluwaseun,Biostatistics
Community-Based Study on Impact of Free Maternal Health Policy on Antenatal Care Utilization in Osun State Nigeria Among Residents of Ede Local Government,"maternal health policy, antenatal care, utilization, free health, Osun",2019,Dr. Olayinka,Health Policy
Community-Based Study on Cultural Beliefs and Practices Influencing Maternal Healthcare Decision-Making in Ife South Communities Among Residents of Ejigbo Local Government,"cultural beliefs, maternal healthcare, decision-making, Ife South, practices",2020,Prof. Adewale,Maternal & Child Health
Comparative Study of Disease Burden of Sickle Cell Disorder Among Residents of Osogbo Local Government,"sickle cell, disease burden, university students, UNIOSUN",2015,Dr. Agboola,Epidemiology
A Cross-Sectional Study of Multidrug-Resistant Tuberculosis Prevalence and Treatment Outcomes in Southwest Nigeria Hospitals Among Residents of Ife North Local Government,"multidrug-resistant tuberculosis, MDR-TB, prevalence, treatment, Southwest Nigeria",2022,Prof. Obiora,Infectious Diseases
A Cross-Sectional Study of Gonorrhoea and Syphilis Co-Infection Prevalence Among Residents of Ejigbo Local Government,"gonorrhoea, syphilis, co-infection, antenatal clinic, Osogbo",2018,Dr. Agboola,Infectious Diseases
Effectiveness of the Basic Healthcare Provision Fund in Strengthening Primary Health Centers,"basic healthcare fund, PHC, effectiveness, primary health, strengthening",2019,Dr. Abiodun,Health Policy
Longitudinal Investigation of Maternal Mortality Ratio and Causes of Death in Osun State Teaching Hospitals from 2015 to 2020 Among Residents of Ife East Local Government,"maternal mortality, causes of death, teaching hospital, Osun State, ratio",2020,Prof. Eze,Maternal & Child Health
A Cross-Sectional Study of Assessment of Kangaroo Mother Care Practice and Neonatal Outcomes in Osun State Hospitals Among Residents of Ejigbo Local Government,"kangaroo mother care, neonatal outcomes, practice, Osun State, hospitals",2016,Prof. Adebayo,Maternal & Child Health
A Cross-Sectional Study of Contact Tracing Effectiveness and Outcomes in Tuberculosis Case Detection in Osun State Nigeria Among Residents of Ede Local Government,"contact tracing, tuberculosis, case detection, outcomes, Osun State",2017,Dr. Salawu,Infectious Diseases
Hospital-Based Assessment of Spatial Distribution and Seasonal Variation of Cholera Outbreaks in Osun State Nigeria Among Residents of Ife South Local Government,"cholera, spatial distribution, seasonal variation, outbreak, Nigeria",2020,Prof. Onyeka,Epidemiology
Maternal Mortality Ratio and Causes of Death in Osun State Teaching Hospitals from 2015 to 2020,"maternal mortality, causes of death, teaching hospital, Osun State, ratio",2018,Dr. Igwe,Maternal & Child Health
Retrospective Review of Burden of Non-Communicable Diseases Among Residents of Osogbo Local Government,"non-communicable diseases, burden, middle-aged, Southwest Nigeria",2019,Prof. Nwosu,Epidemiology
Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2019,Dr. Akinwande,Biostatistics
A Descriptive Analysis of Malaria Parasite Density and Treatment Outcomes Among Residents of Ife South Local Government,"malaria, parasite density, treatment outcomes, children, UNIOSUN",2020,Dr. Okonkwo,Infectious Diseases
Hospital-Based Assessment of Solid Waste Management Practices and Health Implications in Osogbo Urban Local Government Area Among Residents of Boripe Local Government,"solid waste, management, health implications, Osogbo, urban",2021,Prof. Onyeka,Environmental Health
Spatial Analysis of Malaria Incidence Using Geographic Information Systems in Osun State,"spatial analysis, GIS, malaria incidence, Osun State, geographic",2016,Dr. Olayinka,Biostatistics
A Cross-Sectional Study of Knowledge and Practice of Family Planning Methods Among Residents of Boripe Local Government,"family planning, knowledge, practice, married women, Ife Central",2016,Prof. Ogunleye,Maternal & Child Health
Longitudinal Investigation of Prevalence of Postpartum Depression and Associated Risk Factors Among Residents of Boripe Local Government,"postpartum depression, prevalence, risk factors, mothers, Osogbo",2021,Prof. Okafor,Maternal & Child Health
A Cross-Sectional Study of Application of Logistic Regression in Predicting Malaria Risk Factors Among Residents of Ife South Local Government,"logistic regression, malaria risk, prediction, children, biostatistics",2020,Dr. Igwe,Biostatistics
Community-Based Study on Cultural Beliefs and Practices Influencing Maternal Healthcare Decision-Making in Ife South Communities Among Residents of Iwo Local Government,"cultural beliefs, maternal healthcare, decision-making, Ife South, practices",2022,Dr. Folarin,Maternal & Child Health
Longitudinal Investigation of Effect of Hospital Autonomy Policy on Service Delivery Quality in Osun State General Hospitals Among Residents of Ife South Local Government,"hospital autonomy, service delivery, quality, policy, Osun State",2022,Dr. Agboola,Health Policy
Longitudinal Investigation of Time Series Analysis of Seasonal Malaria Trends in Osun State Using ARIMA Models Among Residents of Ilesha Local Government,"time series, ARIMA, seasonal malaria, trends, Osun State",2016,Dr. Olayinka,Biostatistics
Longitudinal Investigation of Environmental Assessment of Noise Pollution and Hearing Loss Risk Near Industrial Zones in Osogbo Among Residents of Ilesa Local Government,"noise pollution, hearing loss, industrial zones, environmental assessment, Osogbo",2020,Prof. Adesanya,Environmental Health
Community-Based Study on Factor Analysis of Health System Barriers to Maternal Healthcare Utilization in Rural Osun State Among Residents of Ejigbo Local Government,"factor analysis, health system barriers, maternal healthcare, rural, Osun",2017,Prof. Okafor,Biostatistics
A Cross-Sectional Study of Sanitation Conditions and Hygiene Practices in Public Primary Schools of Osun State Nigeria Among Residents of Ilesa Local Government,"sanitation, hygiene, primary schools, public schools, Osun State",2017,Prof. Nwosu,Environmental Health
A Descriptive Analysis of Evaluation of National Health Insurance Scheme Implementation in Osun State Public Hospitals Among Residents of Iwo Local Government,"health insurance, NHIS, implementation, Osun State, public hospitals",2020,Dr. Salawu,Health Policy
Community-Based Study on Indoor Air Pollution from Biomass Fuel Use and Respiratory Health Among Residents of Ejigbo Local Government,"indoor air pollution, biomass fuel, respiratory health, women, rural",2021,Dr. Abiodun,Environmental Health
Hospital-Based Assessment of Community Perception of Caesarean Section and Its Effect on Surgical Birth Rate in Osun State Among Residents of Ife East Local Government,"caesarean section, community perception, surgical birth rate, Osun, Nigeria",2017,Prof. Adewale,Maternal & Child Health
Incidence and Distribution of Typhoid Fever Cases Reported in UNIOSUN Teaching Hospital,"typhoid fever, incidence, hospital, distribution, surveillance",2016,Prof. Adeleke,Epidemiology
A Descriptive Analysis of Sample Size Determination and Power Analysis in Public Health Research Studies at Nigerian Universities Among Residents of Ife North Local Government,"sample size, power analysis, public health research, Nigeria, biostatistics",2021,Prof. Adewale,Biostatistics
Community-Based Study on Survival Analysis of Time-to-Death Among Residents of Iwo Local Government,"survival analysis, HIV, antiretroviral therapy, time-to-death, Osun State",2015,Prof. Onyeka,Biostatistics
A Cross-Sectional Study of Malaria Parasite Density and Treatment Outcomes Among Residents of Ife North Local Government,"malaria, parasite density, treatment outcomes, children, UNIOSUN",2020,Dr. Agboola,Infectious Diseases
Climate Change Perceptions and Health Adaptation Strategies Among Farmers in Osun State,"climate change, health adaptation, farmers, perceptions, Osun State",2017,Prof. Afolabi,Environmental Health
Sample Size Determination and Power Analysis in Public Health Research Studies at Nigerian Universities,"sample size, power analysis, public health research, Nigeria, biostatistics",2016,Prof. Fasola,Biostatistics
An Exploratory Analysis of Gonorrhoea and Syphilis Co-Infection Prevalence Among Residents of Ife East Local Government,"gonorrhoea, syphilis, co-infection, antenatal clinic, Osogbo",2021,Prof. Eze,Infectious Diseases
Community-Based Study on Impact of Free Maternal Health Policy on Antenatal Care Utilization in Osun State Nigeria Among Residents of Ejigbo Local Government,"maternal health policy, antenatal care, utilization, free health, Osun",2015,Dr. Abiodun,Health Policy
An Exploratory Analysis of Trend Analysis of Tuberculosis Case Notifications in Osun State Over a Ten-Year Period Among Residents of Ife East Local Government,"tuberculosis, trend analysis, case notification, Osun State",2020,Prof. Adebayo,Epidemiology
Hospital-Based Assessment of Prevalence of Hepatitis C Virus Antibodies Among Residents of Ilesha Local Government,"hepatitis C, prevalence, antibodies, surgical wards, Osogbo",2021,Dr. Akindele,Infectious Diseases
Hospital-Based Assessment of Sample Size Determination and Power Analysis in Public Health Research Studies at Nigerian Universities Among Residents of Ede Local Government,"sample size, power analysis, public health research, Nigeria, biostatistics",2017,Dr. Abiodun,Biostatistics
Retrospective Review of Effectiveness of the Basic Healthcare Provision Fund in Strengthening Primary Health Centers Among Residents of Ede Local Government,"basic healthcare fund, PHC, effectiveness, primary health, strengthening",2019,Prof. Adewale,Health Policy
A Descriptive Analysis of Child Immunization Coverage and Barriers to Vaccine Uptake in Osun State Local Government Areas Among Residents of Ilesha Local Government,"immunization, coverage, barriers, vaccine uptake, Osun State",2021,Dr. Folarin,Maternal & Child Health
Comparative Study of Trend Analysis of Tuberculosis Case Notifications in Osun State Over a Ten-Year Period Among Residents of Ife South Local Government,"tuberculosis, trend analysis, case notification, Osun State",2017,Dr. Oluwaseun,Epidemiology
Hospital-Based Assessment of Principal Component Analysis of Socioeconomic Determinants of Health Outcomes in Southwest Nigeria Among Residents of Osogbo Local Government,"principal component analysis, socioeconomic determinants, health outcomes, Nigeria",2022,Dr. Nwachukwu,Biostatistics
Longitudinal Investigation of Assessment of Meningitis Outbreak Response and Control Measures in Northern Osun Communities Among Residents of Boripe Local Government,"meningitis, outbreak, response, control, Osun",2016,Prof. Adeoti,Epidemiology
Community-Based Study on Gender-Responsive Health Policy Analysis and Women Empowerment in Osun State Communities Among Residents of Ejigbo Local Government,"gender-responsive, health policy, women empowerment, Osun, analysis",2019,Prof. Obiora,Health Policy
Hospital-Based Assessment of Household Air Quality Monitoring and Respiratory Outcomes in Low-Income Areas of Osogbo Nigeria Among Residents of Ilesha Local Government,"household air quality, respiratory outcomes, low-income, monitoring, Osogbo",2018,Dr. Adeyemi,Environmental Health
Hospital-Based Assessment of Climate Change Perceptions and Health Adaptation Strategies Among Residents of Ife South Local Government,"climate change, health adaptation, farmers, perceptions, Osun State",2015,Prof. Adeleke,Environmental Health
A Descriptive Analysis of Survival Analysis of Time-to-Death Among Residents of Ede Local Government,"survival analysis, HIV, antiretroviral therapy, time-to-death, Osun State",2017,Prof. Afolabi,Biostatistics
Community-Based Study on Socioeconomic Factors and Teenage Pregnancy Prevalence Among Residents of Ilesa Local Government,"teenage pregnancy, socioeconomic, secondary school, prevalence, Osun State",2015,Prof. Emeka,Maternal & Child Health
A Descriptive Analysis of Epidemiological Profile of Diabetes Mellitus Patients Attending Primary Healthcare Centers in Osun Among Residents of Iwo Local Government,"diabetes mellitus, epidemiology, primary healthcare, Osun State",2019,Dr. Salawu,Epidemiology
Cluster Analysis Identification of High-Risk Communities for Malaria in Osun State Using Health Data,"cluster analysis, high-risk communities, malaria, health data, Osun State",2016,Dr. Abiodun,Biostatistics
Hospital-Based Assessment of Epidemiology of Mental Health Disorders Among Residents of Ife East Local Government,"mental health, epidemiology, adults, general hospital, disorders",2018,Prof. Adebayo,Epidemiology
Comparative Study of Survival Analysis of Time-to-Death Among Residents of Ejigbo Local Government,"survival analysis, HIV, antiretroviral therapy, time-to-death, Osun State",2017,Dr. Chukwu,Biostatistics
Comparative Study of Knowledge Attitude and Practice Regarding Lassa Fever Prevention Among Residents of Ilesha Local Government,"Lassa fever, knowledge, attitude, practice, healthcare workers",2020,Dr. Nwachukwu,Infectious Diseases
Cultural Beliefs and Practices Influencing Maternal Healthcare Decision-Making in Ife South Communities,"cultural beliefs, maternal healthcare, decision-making, Ife South, practices",2018,Prof. Adebayo,Maternal & Child Health
A Descriptive Analysis of Factors Influencing Antenatal Care Attendance Among Residents of Ilesha Local Government,"antenatal care, attendance, pregnant women, rural, Osun",2017,Prof. Okafor,Maternal & Child Health
Longitudinal Investigation of Impact of Open Defecation on Child Diarrhoeal Diseases in Rural Communities of Osun State Among Residents of Ilesha Local Government,"open defecation, diarrhoea, children, rural, sanitation",2015,Prof. Adesanya,Environmental Health
Longitudinal Investigation of Contact Tracing Effectiveness and Outcomes in Tuberculosis Case Detection in Osun State Nigeria Among Residents of Iwo Local Government,"contact tracing, tuberculosis, case detection, outcomes, Osun State",2015,Prof. Afolabi,Infectious Diseases
Longitudinal Investigation of Assessment of Meningitis Outbreak Response and Control Measures in Northern Osun Communities Among Residents of Ife South Local Government,"meningitis, outbreak, response, control, Osun",2016,Prof. Fasola,Epidemiology
A Cross-Sectional Study of Multilevel Modelling of Determinants of Child Mortality in Southwest Nigerian Communities Among Residents of Ife East Local Government,"multilevel modelling, child mortality, determinants, Southwest Nigeria, biostatistics",2015,Dr. Igwe,Biostatistics
Retrospective Review of Heavy Metal Contamination of Borehole Water Sources in Industrial Areas of Osun State Nigeria Among Residents of Ilesha Local Government,"heavy metals, borehole, contamination, industrial, water safety",2021,Prof. Ogunleye,Environmental Health
Hospital-Based Assessment of Factors Associated with Recurrent Malaria Episodes Among Residents of Ife East Local Government,"recurrent malaria, under-five, risk factors, Osun State, episodes",2019,Prof. Adeoti,Infectious Diseases
Assessment of Primary Healthcare Governance and Accountability Mechanisms in Southwest Nigeria,"primary healthcare, governance, accountability, Southwest Nigeria, policy",2022,Prof. Obiora,Health Policy
Comparative Study of Incidence and Distribution of Typhoid Fever Cases Reported in UNIOSUN Teaching Hospital Among Residents of Ejigbo Local Government,"typhoid fever, incidence, hospital, distribution, surveillance",2017,Prof. Bankole,Epidemiology
An Exploratory Analysis of Evaluation of Community Health Workers Policy and Its Impact on Rural Health Outcomes Among Residents of Ejigbo Local Government,"community health workers, policy evaluation, rural health, outcomes",2021,Prof. Afolabi,Health Policy
Retrospective Review of Structural Equation Modelling of Social Determinants Affecting Health Outcomes in Osun State Nigeria Among Residents of Ejigbo Local Government,"structural equation modelling, social determinants, health outcomes, Osun, Nigeria",2020,Dr. Igwe,Biostatistics
A Cross-Sectional Study of Child Immunization Coverage and Barriers to Vaccine Uptake in Osun State Local Government Areas Among Residents of Ife East Local Government,"immunization, coverage, barriers, vaccine uptake, Osun State",2016,Prof. Adeoti,Maternal & Child Health
Hospital-Based Assessment of Prevalence and Genotyping of Human Papillomavirus Among Residents of Ilesha Local Government,"human papillomavirus, cervical cancer, genotyping, screening, prevalence",2015,Dr. Folarin,Infectious Diseases
An Exploratory Analysis of Household Air Quality Monitoring and Respiratory Outcomes in Low-Income Areas of Osogbo Nigeria Among Residents of Ife East Local Government,"household air quality, respiratory outcomes, low-income, monitoring, Osogbo",2018,Dr. Chukwu,Environmental Health
Prevalence of Hepatitis C Virus Antibodies Among Patients Attending Surgical Wards in Osogbo,"hepatitis C, prevalence, antibodies, surgical wards, Osogbo",2015,Dr. Folarin,Infectious Diseases
A Cross-Sectional Study of Policy Analysis of Community Health Extension Worker Deployment in Rural Osun State Communities Among Residents of Ilesha Local Government,"CHEW, deployment, health policy, rural, community health",2018,Dr. Folarin,Health Policy
An Exploratory Analysis of Lead Exposure Assessment and Neurological Effects Among Residents of Boripe Local Government,"lead exposure, neurological effects, children, battery recycling, assessment",2016,Prof. Emeka,Environmental Health
Community-Based Study on Prevalence and Genotyping of Human Papillomavirus Among Residents of Ilesa Local Government,"human papillomavirus, cervical cancer, genotyping, screening, prevalence",2015,Prof. Adesanya,Infectious Diseases
Hospital-Based Assessment of Obstetric Complications and Emergency Referral Patterns at UNIOSUN Teaching Hospital Osogbo Among Residents of Ife North Local Government,"obstetric complications, emergency referral, UNIOSUN, teaching hospital, Osogbo",2017,Dr. Folarin,Maternal & Child Health
Hospital-Based Assessment of Factors Influencing Insecticide-Treated Net Use Among Residents of Ede Local Government,"insecticide-treated net, household, malaria prevention, rural, Osun",2022,Dr. Igwe,Infectious Diseases
Retrospective Review of Chemical Pesticide Use Patterns and Chronic Health Effects Among Residents of Ilesha Local Government,"pesticide, chemical exposure, agricultural workers, chronic health, Osun",2018,Dr. Okonkwo,Environmental Health
Comparative Study of National Health Act Implementation Status and Implications for Healthcare Delivery in Nigeria Among Residents of Ife South Local Government,"National Health Act, implementation, healthcare delivery, Nigeria, implications",2021,Dr. Abiodun,Health Policy
Longitudinal Investigation of Systematic Review and Meta-Analysis of Hypertension Prevalence Studies in Southwest Nigeria Among Residents of Osogbo Local Government,"systematic review, meta-analysis, hypertension, prevalence, Southwest Nigeria",2015,Dr. Salawu,Biostatistics
Longitudinal Investigation of Nutritional Status and Cognitive Development Among Residents of Ede Local Government,"nutritional status, cognitive development, primary school, children, Osun",2022,Dr. Agboola,Maternal & Child Health
Nutritional Status and Cognitive Development Among Primary School Children in Osun State Nigeria,"nutritional status, cognitive development, primary school, children, Osun",2020,Prof. Adebayo,Maternal & Child Health
Longitudinal Investigation of Assessment of Toilet Facilities Adequacy and Sanitation-Related Diseases in Rural Osun Communities Among Residents of Ife North Local Government,"toilet facilities, sanitation, rural, diseases, assessment",2015,Prof. Onyeka,Environmental Health
A Cross-Sectional Study of Epidemiological Profile of Diabetes Mellitus Patients Attending Primary Healthcare Centers in Osun Among Residents of Ilesha Local Government,"diabetes mellitus, epidemiology, primary healthcare, Osun State",2019,Prof. Eze,Epidemiology
Hospital-Based Assessment of Epidemiology of Salmonella Infections and Outbreak Investigation in Osun State Communities Among Residents of Ife South Local Government,"Salmonella, infections, outbreak investigation, Osun State, epidemiology",2020,Prof. Onyeka,Infectious Diseases
Assessment of Health Sector Decentralization Policy Outcomes in Southwest Nigerian Local Governments,"decentralization, health sector, local government, policy outcomes, Nigeria",2022,Prof. Adebayo,Health Policy
Knowledge Attitude and Practice Regarding Lassa Fever Prevention Among Healthcare Workers in Osun,"Lassa fever, knowledge, attitude, practice, healthcare workers",2018,Dr. Okonkwo,Infectious Diseases
Longitudinal Investigation of Evaluation of National Health Insurance Scheme Implementation in Osun State Public Hospitals Among Residents of Ilesa Local Government,"health insurance, NHIS, implementation, Osun State, public hospitals",2021,Dr. Agboola,Health Policy
Community-Based Study on Assessment of Household Water Quality and Waterborne Disease Risk in Peri-Urban Osogbo Nigeria Among Residents of Ede Local Government,"water quality, household, waterborne disease, peri-urban, Osogbo",2019,Dr. Akinwande,Environmental Health
Comparative Study of Coverage and Equity of Childhood Vaccination Services in Hard-to-Reach Areas of Osun State Among Residents of Ilesha Local Government,"childhood vaccination, coverage, equity, hard-to-reach, Osun State",2018,Dr. Nwachukwu,Maternal & Child Health
Longitudinal Investigation of E-Waste Disposal Practices and Toxic Exposure Among Residents of Boripe Local Government,"e-waste, disposal, toxic exposure, informal recyclers, Southwest Nigeria",2017,Dr. Chukwu,Environmental Health
A Cross-Sectional Study of Impact of Open Defecation on Child Diarrhoeal Diseases in Rural Communities of Osun State Among Residents of Ife East Local Government,"open defecation, diarrhoea, children, rural, sanitation",2015,Prof. Adebayo,Environmental Health
Comparative Study of Disease Burden of Sickle Cell Disorder Among Residents of Ife South Local Government,"sickle cell, disease burden, university students, UNIOSUN",2021,Dr. Akindele,Epidemiology
Retrospective Review of Prevalence and Risk Factors of Hypertension Among Residents of Ilesa Local Government,"hypertension, prevalence, risk factors, adults, Osun State",2022,Prof. Nwosu,Epidemiology
An Exploratory Analysis of Heavy Metal Contamination of Borehole Water Sources in Industrial Areas of Osun State Nigeria Among Residents of Ilesha Local Government,"heavy metals, borehole, contamination, industrial, water safety",2016,Dr. Chukwu,Environmental Health
An Exploratory Analysis of Evaluation of Community Health Workers Policy and Its Impact on Rural Health Outcomes Among Residents of Ife North Local Government,"community health workers, policy evaluation, rural health, outcomes",2015,Prof. Fasola,Health Policy
Retrospective Review of Assessment of Health Sector Decentralization Policy Outcomes in Southwest Nigerian Local Governments Among Residents of Boripe Local Government,"decentralization, health sector, local government, policy outcomes, Nigeria",2019,Dr. Adeyemi,Health Policy
Comparative Study of Chemical Pesticide Use Patterns and Chronic Health Effects Among Residents of Boripe Local Government,"pesticide, chemical exposure, agricultural workers, chronic health, Osun",2021,Prof. Adebayo,Environmental Health
An Exploratory Analysis of Evaluation of Community Health Workers Policy and Its Impact on Rural Health Outcomes Among Residents of Iwo Local Government,"community health workers, policy evaluation, rural health, outcomes",2021,Dr. Adeyemi,Health Policy
An Exploratory Analysis of Malaria Parasite Density and Treatment Outcomes Among Residents of Osogbo Local Government,"malaria, parasite density, treatment outcomes, children, UNIOSUN",2016,Dr. Olayinka,Infectious Diseases
Community-Based Study on Assessment of Infection Prevention and Control Practices in UNIOSUN Teaching Hospital Wards Among Residents of Ede Local Government,"infection prevention, control practices, UNIOSUN, teaching hospital, wards",2019,Dr. Babatunde,Infectious Diseases
