title,keywords,session_year,supervisor_name,category
Assessment of Exclusive Breastfeeding Practices and Infant Nutritional Outcomes in Osun State,"exclusive breastfeeding, infant nutrition, practices, Osun State, outcomes",2020,Prof. Onyeka,Maternal & Child Health
COVID-19 Infection Patterns and Mortality Outcomes in Osun State Isolation Centers 2020-2021,"COVID-19, infection patterns, mortality, isolation centers, Osun State",2017,Prof. Afolabi,Infectious Diseases
Antiretroviral Therapy Adherence and Viral Load Suppression Among HIV Patients in Osun State,"antiretroviral therapy, adherence, viral load, HIV patients, Osun State",2021,Dr. Nnamdi,Infectious Diseases
Vector Breeding Site Assessment and Malaria Risk in Flood-Prone Areas of Osun State Nigeria,"vector breeding, malaria risk, flood-prone, Osun State, assessment",2015,Dr. Okonkwo,Environmental Health
Effect of Male Partner Involvement on Maternal Health Service Utilization in Osun State Communities,"male involvement, maternal health, service utilization, Osun State, partner",2022,Dr. Okonkwo,Maternal & Child Health
Seroprevalence of Hepatitis B Virus Infection Among Blood Donors in Osun State Teaching Hospitals,"hepatitis B, seroprevalence, blood donors, teaching hospital",2019,Prof. Adewale,Epidemiology
Prevalence of Postpartum Depression and Associated Risk Factors Among Mothers in Osogbo,"postpartum depression, prevalence, risk factors, mothers, Osogbo",2018,Prof. Eze,Maternal & Child Health
Gonorrhoea and Syphilis Co-Infection Prevalence Among Antenatal Clinic Attendees in Osogbo Nigeria,"gonorrhoea, syphilis, co-infection, antenatal clinic, Osogbo",2017,Prof. Emeka,Infectious Diseases
Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2022,Prof. Adewale,Biostatistics
Spatial Distribution and Seasonal Variation of Cholera Outbreaks in Osun State Nigeria,"cholera, spatial distribution, seasonal variation, outbreak, Nigeria",2017,Prof. Emeka,Epidemiology
Epidemiological Investigation of Malaria Burden Among Children Under Five Years in Rural Nigeria,"malaria, children, epidemiology, rural, Nigeria",2021,Prof. Obiora,Epidemiology
Community Perception of Caesarean Section and Its Effect on Surgical Birth Rate in Osun State,"caesarean section, community perception, surgical birth rate, Osun, Nigeria",2016,Dr. Akinwande,Maternal & Child Health
Socioeconomic Factors and Teenage Pregnancy Prevalence Among Secondary School Girls in Osun State,"teenage pregnancy, socioeconomic, secondary school, prevalence, Osun State",2020,Prof. Adesanya,Maternal & Child Health
Stakeholder Perceptions of Universal Health Coverage Implementation in Osun State Nigeria,"universal health coverage, stakeholders, perceptions, implementation, Nigeria",2021,Prof. Adesanya,Health Policy
HIV Seroprevalence and Risk Behavior Among Female Sex Workers in Osogbo Metropolis Nigeria,"HIV, seroprevalence, risk behavior, female sex workers, Osogbo",2018,Prof. Adebayo,Infectious Diseases
Policy Analysis of Community Health Extension Worker Deployment in Rural Osun State Communities,"CHEW, deployment, health policy, rural, community health",2018,Prof. Obiora,Health Policy
Chemical Pesticide Use Patterns and Chronic Health Effects Among Agricultural Workers in Osun,"pesticide, chemical exposure, agricultural workers, chronic health, Osun",2017,Prof. Ogunleye,Environmental Health
Impact of Open Defecation on Child Diarrhoeal Diseases in Rural Communities of Osun State,"open defecation, diarrhoea, children, rural, sanitation",2019,Prof. Obiora,Environmental Health
Climate Change Perceptions and Health Adaptation Strategies Among Farmers in Osun State,"climate change, health adaptation, farmers, perceptions, Osun State",2022,Prof. Obiora,Environmental Health
Maternal Mortality Ratio and Causes of Death in Osun State Teaching Hospitals from 2015 to 2020,"maternal mortality, causes of death, teaching hospital, Osun State, ratio",2020,Dr. Salawu,Maternal & Child Health
National Health Act Implementation Status and Implications for Healthcare Delivery in Nigeria,"National Health Act, implementation, healthcare delivery, Nigeria, implications",2015,Prof. Adeoti,Health Policy
Knowledge and Practice of Family Planning Methods Among Married Women in Ife Central Nigeria,"family planning, knowledge, practice, married women, Ife Central",2018,Prof. Onyeka,Maternal & Child Health
Intersectoral Collaboration for Social Determinants of Health Policy in Southwest Nigeria,"intersectoral collaboration, social determinants, health policy, Southwest Nigeria",2019,Prof. Okafor,Health Policy
Determinants of Skilled Birth Attendance Utilization Among Parturient Women in Osun State Nigeria,"skilled birth attendance, determinants, parturient women, Osun State",2015,Prof. Adebayo,Maternal & Child Health
Analysis of Task-Shifting Policy for Health Workers in Low-Resource Settings of Southwest Nigeria,"task-shifting, health workers, low-resource, policy, Southwest Nigeria",2018,Dr. Igwe,Health Policy
Evaluation of Drinking Water Treatment Practices in Households of Peri-Urban Osun State Communities,"drinking water, treatment practices, households, peri-urban, Osun",2018,Dr. Igwe,Environmental Health
E-Waste Disposal Practices and Toxic Exposure Among Informal Recyclers in Southwest Nigeria,"e-waste, disposal, toxic exposure, informal recyclers, Southwest Nigeria",2015,Prof. Adesanya,Environmental Health
Cultural Beliefs and Practices Influencing Maternal Healthcare Decision-Making in Ife South Communities,"cultural beliefs, maternal healthcare, decision-making, Ife South, practices",2016,Prof. Okafor,Maternal & Child Health
Impact of Free Maternal Health Policy on Antenatal Care Utilization in Osun State Nigeria,"maternal health policy, antenatal care, utilization, free health, Osun",2022,Dr. Abiodun,Health Policy
Under-Five Malnutrition Prevalence and Its Relationship with Household Food Security in Nigeria,"malnutrition, under-five, food security, household, Nigeria",2019,Prof. Onyeka,Maternal & Child Health
Child Immunization Coverage and Barriers to Vaccine Uptake in Osun State Local Government Areas,"immunization, coverage, barriers, vaccine uptake, Osun State",2015,Dr. Chukwu,Maternal & Child Health
Assessment of Primary Healthcare Governance and Accountability Mechanisms in Southwest Nigeria,"primary healthcare, governance, accountability, Southwest Nigeria, policy",2021,Prof. Emeka,Health Policy
Assessment of Household Water Quality and Waterborne Disease Risk in Peri-Urban Osogbo Nigeria,"water quality, household, waterborne disease, peri-urban, Osogbo",2017,Prof. Adeoti,Environmental Health
Contact Tracing Effectiveness and Outcomes in Tuberculosis Case Detection in Osun State Nigeria,"contact tracing, tuberculosis, case detection, outcomes, Osun State",2020,Prof. Adesanya,Infectious Diseases
Developing a Predictive Scoring Tool for Maternal Complications Using Routine Obstetric Data Nigeria,"predictive scoring, maternal complications, routine data, obstetric, Nigeria",2021,Prof. Eze,Biostatistics
Health Financing Strategies and Their Effect on Out-of-Pocket Expenditure in Osun State,"health financing, out-of-pocket, expenditure, Osun State, strategy",2020,Dr. Akinwande,Health Policy
Community-Based Assessment of Stroke Risk Factors Among Elderly Populations in Ife North,"stroke, risk factors, elderly, community, Ife North",2021,Dr. Akinwande,Epidemiology
Mercury Exposure and Health Risk Assessment Among Artisanal Gold Miners in Osun State Nigeria,"mercury exposure, gold mining, health risk, artisanal, Osun State",2022,Prof. Fasola,Environmental Health
Epidemiology of Salmonella Infections and Outbreak Investigation in Osun State Communities,"Salmonella, infections, outbreak investigation, Osun State, epidemiology",2022,Dr. Salawu,Infectious Diseases
Burden and Distribution of Schistosomiasis Among School-Age Children in Rural Osun Communities,"schistosomiasis, children, distribution, burden, rural",2015,Dr. Oluwaseun,Epidemiology
Evaluation of Food Safety Practices in Open-Air Markets and Restaurants in Osogbo Metropolis,"food safety, open-air markets, restaurants, evaluation, Osogbo",2022,Prof. Obiora,Environmental Health
Application of Machine Learning Algorithms in Predicting Hypertension Onset in Nigerian Adults,"machine learning, hypertension prediction, Nigerian adults, algorithms, biostatistics",2016,Prof. Nwosu,Biostatistics
Heavy Metal Contamination of Borehole Water Sources in Industrial Areas of Osun State Nigeria,"heavy metals, borehole, contamination, industrial, water safety",2015,Dr. Folarin,Environmental Health
Incidence and Distribution of Typhoid Fever Cases Reported in UNIOSUN Teaching Hospital,"typhoid fever, incidence, hospital, distribution, surveillance",2016,Dr. Salawu,Epidemiology
Multilevel Modelling of Determinants of Child Mortality in Southwest Nigerian Communities,"multilevel modelling, child mortality, determinants, Southwest Nigeria, biostatistics",2016,Prof. Eze,Biostatistics
Obstetric Complications and Emergency Referral Patterns at UNIOSUN Teaching Hospital Osogbo,"obstetric complications, emergency referral, UNIOSUN, teaching hospital, Osogbo",2021,Prof. Adeoti,Maternal & Child Health
Infant and Young Child Feeding Practices Among Urban Mothers in Osogbo Local Government Area,"infant feeding, young child, practices, urban mothers, Osogbo",2018,Prof. Afolabi,Maternal & Child Health
Effect of Hospital Autonomy Policy on Service Delivery Quality in Osun State General Hospitals,"hospital autonomy, service delivery, quality, policy, Osun State",2019,Dr. Babatunde,Health Policy
Sanitation Conditions and Hygiene Practices in Public Primary Schools of Osun State Nigeria,"sanitation, hygiene, primary schools, public schools, Osun State",2018,Dr. Salawu,Environmental Health
Gender-Responsive Health Policy Analysis and Women Empowerment in Osun State Communities,"gender-responsive, health policy, women empowerment, Osun, analysis",2016,Prof. Emeka,Health Policy
Trend Analysis of Tuberculosis Case Notifications in Osun State Over a Ten-Year Period,"tuberculosis, trend analysis, case notification, Osun State",2021,Prof. Adeoti,Epidemiology
Prevalence of Birth Asphyxia and Contributing Factors in Neonatal Units of Osun State Hospitals,"birth asphyxia, prevalence, neonatal, contributing factors, Osun State",2016,Prof. Adeoti,Maternal & Child Health
Dengue Fever Seroprevalence and Associated Risk Factors in Flood-Prone Areas of Osun State,"dengue fever, seroprevalence, flood-prone, risk factors, Osun",2020,Prof. Fasola,Epidemiology
Impact of Flooding Events on Waterborne Disease Incidence in Osun State Flood Corridors,"flooding, waterborne disease, incidence, Osun State, flood corridors",2017,Prof. Adesanya,Environmental Health
Epidemiological Profile of Diabetes Mellitus Patients Attending Primary Healthcare Centers in Osun,"diabetes mellitus, epidemiology, primary healthcare, Osun State",2015,Prof. Okafor,Epidemiology
Tobacco Control Policy Awareness and Compliance Among Market Vendors in Osogbo Metropolis,"tobacco control, policy compliance, market vendors, Osogbo, awareness",2019,Dr. Igwe,Health Policy
Indoor Air Pollution from Biomass Fuel Use and Respiratory Health Among Women in Rural Osun,"indoor air pollution, biomass fuel, respiratory health, women, rural",2022,Prof. Fasola,Environmental Health
Environmental Assessment of Noise Pollution and Hearing Loss Risk Near Industrial Zones in Osogbo,"noise pollution, hearing loss, industrial zones, environmental assessment, Osogbo",2019,Dr. Olayinka,Environmental Health
Assessment of Meningitis Outbreak Response and Control Measures in Northern Osun Communities,"meningitis, outbreak, response, control, Osun",2018,Dr. Adeyemi,Epidemiology
Lead Exposure Assessment and Neurological Effects Among Children Near Battery Recycling Sites,"lead exposure, neurological effects, children, battery recycling, assessment",2021,Dr. Babatunde,Environmental Health
Survival Analysis of Time-to-Death Among HIV Patients on Antiretroviral Therapy in Osun State,"survival analysis, HIV, antiretroviral therapy, time-to-death, Osun State",2018,Prof. Afolabi,Biostatistics
Cluster Analysis Identification of High-Risk Communities for Malaria in Osun State Using Health Data,"cluster analysis, high-risk communities, malaria, health data, Osun State",2017,Dr. Agboola,Biostatistics
Structural Equation Modelling of Social Determinants Affecting Health Outcomes in Osun State Nigeria,"structural equation modelling, social determinants, health outcomes, Osun, Nigeria",2020,Prof. Adeoti,Biostatistics
Application of Logistic Regression in Predicting Malaria Risk Factors Among Children in Osun State,"logistic regression, malaria risk, prediction, children, biostatistics",2022,Prof. Eze,Biostatistics
Epidemiological Assessment of Childhood Pneumonia Cases in UNIOSUN Teaching Hospital Outpatients,"pneumonia, childhood, epidemiology, teaching hospital, outpatients",2015,Prof. Nwosu,Epidemiology
Tuberculosis Treatment Default Rate and Associated Factors in DOTS Centres Osun State Nigeria,"tuberculosis, treatment default, DOTS, Osun State, associated factors",2020,Prof. Obiora,Infectious Diseases
Solid Waste Management Practices and Health Implications in Osogbo Urban Local Government Area,"solid waste, management, health implications, Osogbo, urban",2017,Prof. Adewale,Environmental Health
Systematic Review and Meta-Analysis of Hypertension Prevalence Studies in Southwest Nigeria,"systematic review, meta-analysis, hypertension, prevalence, Southwest Nigeria",2020,Prof. Adewale,Biostatistics
Evaluation of National Health Insurance Scheme Implementation in Osun State Public Hospitals,"health insurance, NHIS, implementation, Osun State, public hospitals",2019,Dr. Akinwande,Health Policy
Prevalence and Risk Factors of Hypertension Among Adult Residents in Osun State Communities,"hypertension, prevalence, risk factors, adults, Osun State",2022,Prof. Adeoti,Epidemiology
Sensitivity and Specificity Analysis of Diagnostic Tests for Malaria in UNIOSUN Teaching Hospital,"sensitivity, specificity, diagnostic tests, malaria, UNIOSUN",2019,Dr. Abiodun,Biostatistics
Spatial Analysis of Malaria Incidence Using Geographic Information Systems in Osun State,"spatial analysis, GIS, malaria incidence, Osun State, geographic",2019,Dr. Nnamdi,Biostatistics
Assessment of Toilet Facilities Adequacy and Sanitation-Related Diseases in Rural Osun Communities,"toilet facilities, sanitation, rural, diseases, assessment",2015,Prof. Okafor,Environmental Health
Mixed-Effects Modelling of Longitudinal Blood Pressure Data Among Hypertensive Patients in Osogbo,"mixed-effects model, longitudinal, blood pressure, hypertension, Osogbo",2021,Prof. Nwosu,Biostatistics
Environmental Health Impact Assessment of a Proposed Industrial Estate in Osun State Nigeria,"environmental health impact, industrial estate, assessment, Osun State, Nigeria",2019,Dr. Abiodun,Environmental Health
Statistical Modelling of Maternal Mortality Predictors at UNIOSUN Teaching Hospital Nigeria,"statistical modelling, maternal mortality, predictors, UNIOSUN, Nigeria",2022,Dr. Adeyemi,Biostatistics
Assessment of Infection Prevention and Control Practices in UNIOSUN Teaching Hospital Wards,"infection prevention, control practices, UNIOSUN, teaching hospital, wards",2016,Dr. Abiodun,Infectious Diseases
Malaria Parasite Density and Treatment Outcomes Among Children Admitted to UNIOSUN Hospital,"malaria, parasite density, treatment outcomes, children, UNIOSUN",2021,Dr. Folarin,Infectious Diseases
Prevalence and Genotyping of Human Papillomavirus Among Women Attending Cervical Cancer Screening,"human papillomavirus, cervical cancer, genotyping, screening, prevalence",2016,Prof. Afolabi,Infectious Diseases
Analysis of Drug Procurement Policy and Essential Medicines Availability at Public Health Facilities,"drug procurement, essential medicines, policy, availability, public health",2016,Prof. Emeka,Health Policy
Nutritional Status and Cognitive Development Among Primary School Children in Osun State Nigeria,"nutritional status, cognitive development, primary school, children, Osun",2015,Prof. Emeka,Maternal & Child Health
Time Series Analysis of Seasonal Malaria Trends in Osun State Using ARIMA Models,"time series, ARIMA, seasonal malaria, trends, Osun State",2015,Dr. Salawu,Biostatistics
Coverage and Equity of Childhood Vaccination Services in Hard-to-Reach Areas of Osun State,"childhood vaccination, coverage, equity, hard-to-reach, Osun State",2020,Prof. Adeleke,Maternal & Child Health
Factors Influencing Antenatal Care Attendance Among Pregnant Women in Rural Osun Communities,"antenatal care, attendance, pregnant women, rural, Osun",2020,Prof. Obiora,Maternal & Child Health
Effectiveness of the Basic Healthcare Provision Fund in Strengthening Primary Health Centers,"basic healthcare fund, PHC, effectiveness, primary health, strengthening",2016,Dr. Akindele,Health Policy
