title,keywords,session_year,supervisor_name,category
A Descriptive Analysis of Coverage and Equity of Childhood Vaccination Services in Hard-to-Reach Areas of Osun State Among Residents of Ife South Local Government,"childhood vaccination, coverage, equity, hard-to-reach, Osun State",2017,Dr. Chukwu,Maternal & Child Health
Community-Based Study on Under-Five Malnutrition Prevalence and Its Relationship with Household Food Security in Nigeria Among Residents of Osogbo Local Government,"malnutrition, under-five, food security, household, Nigeria",2015,Prof. Adeleke,Maternal & Child Health
Epidemiological Study of Eye Diseases and Visual Impairment Among Adults in Rural Osun,"eye diseases, visual impairment, adults, rural, Osun",2020,Dr. Okonkwo,Epidemiology
Hospital-Based Assessment of Prevalence of Hepatitis C Virus Antibodies Among Residents of Ife North Local Government,"hepatitis C, prevalence, antibodies, surgical wards, Osogbo",2021,Prof. Onyeka,Infectious Diseases
Comparative Study of Prevalence of Overweight and Obesity Among Residents of Ede Local Government,"overweight, obesity, adolescents, secondary school, Osogbo",2018,Dr. Okonkwo,Epidemiology
Comparative Study of Review of Immunization Policy Compliance and Vaccination Coverage in Osun State Communities Among Residents of Ilesa Local Government,"immunization policy, compliance, vaccination coverage, Osun, communities",2019,Dr. Adeyemi,Health Policy
Longitudinal Investigation of Impact of Free Maternal Health Policy on Antenatal Care Utilization in Osun State Nigeria Among Residents of Ejigbo Local Government,"maternal health policy, antenatal care, utilization, free health, Osun",2021,Dr. Folarin,Health Policy
Comparative Study of Prevalence of Anaemia and Associated Factors Among Residents of Boripe Local Government,"anaemia, pregnant women, prevalence, Ijesa Zone, Nigeria",2017,Dr. Igwe,Epidemiology
Hospital-Based Assessment of Factors Associated with Recurrent Malaria Episodes Among Residents of Ilesa Local Government,"recurrent malaria, under-five, risk factors, Osun State, episodes",2018,Prof. Ogunleye,Infectious Diseases
A Descriptive Analysis of Solid Waste Management Practices and Health Implications in Osogbo Urban Local Government Area Among Residents of Boripe Local Government,"solid waste, management, health implications, Osogbo, urban",2022,Dr. Akindele,Environmental Health
A Descriptive Analysis of Application of Logistic Regression in Predicting Malaria Risk Factors Among Residents of Iwo Local Government,"logistic regression, malaria risk, prediction, children, biostatistics",2018,Prof. Eze,Biostatistics
A Descriptive Analysis of Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities Among Residents of Ilesha Local Government,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2016,Prof. Okafor,Biostatistics
A Descriptive Analysis of Household Air Quality Monitoring and Respiratory Outcomes in Low-Income Areas of Osogbo Nigeria Among Residents of Ife North Local Government,"household air quality, respiratory outcomes, low-income, monitoring, Osogbo",2015,Prof. Adebayo,Environmental Health
Longitudinal Investigation of Anemia in Pregnancy Prevalence and Its Effect on Birth Outcomes in Southwest Nigerian Hospitals Among Residents of Iwo Local Government,"anaemia in pregnancy, birth outcomes, Southwest Nigeria, hospitals, prevalence",2017,Prof. Adesanya,Maternal & Child Health
A Descriptive Analysis of Receiver Operating Characteristic Curve Analysis for Predicting Severe Malaria in Children Nigeria Among Residents of Ife East Local Government,"ROC curve, severe malaria, prediction, children, Nigeria",2019,Dr. Salawu,Biostatistics
A Descriptive Analysis of Sanitation Conditions and Hygiene Practices in Public Primary Schools of Osun State Nigeria Among Residents of Iwo Local Government,"sanitation, hygiene, primary schools, public schools, Osun State",2018,Prof. Adeleke,Environmental Health
Assessment of Exclusive Breastfeeding Practices and Infant Nutritional Outcomes in Osun State,"exclusive breastfeeding, infant nutrition, practices, Osun State, outcomes",2016,Prof. Nwosu,Maternal & Child Health
Hospital-Based Assessment of Nutritional Status and Cognitive Development Among Residents of Boripe Local Government,"nutritional status, cognitive development, primary school, children, Osun",2022,Dr. Abiodun,Maternal & Child Health
Longitudinal Investigation of Incidence and Distribution of Typhoid Fever Cases Reported in UNIOSUN Teaching Hospital Among Residents of Ife East Local Government,"typhoid fever, incidence, hospital, distribution, surveillance",2020,Prof. Adebayo,Epidemiology
Incidence and Distribution of Typhoid Fever Cases Reported in UNIOSUN Teaching Hospital,"typhoid fever, incidence, hospital, distribution, surveillance",2015,Dr. Nwachukwu,Epidemiology
Comparative Study of Epidemiological Assessment of Childhood Pneumonia Cases in UNIOSUN Teaching Hospital Outpatients Among Residents of Ife South Local Government,"pneumonia, childhood, epidemiology, teaching hospital, outpatients",2020,Prof. Afolabi,Epidemiology
Spatial Analysis of Malaria Incidence Using Geographic Information Systems in Osun State,"spatial analysis, GIS, malaria incidence, Osun State, geographic",2015,Dr. Nnamdi,Biostatistics
Comparative Study of Gonorrhoea and Syphilis Co-Infection Prevalence Among Residents of Ejigbo Local Government,"gonorrhoea, syphilis, co-infection, antenatal clinic, Osogbo",2018,Dr. Nnamdi,Infectious Diseases
Comparative Study of Antiretroviral Therapy Adherence and Viral Load Suppression Among Residents of Ejigbo Local Government,"antiretroviral therapy, adherence, viral load, HIV patients, Osun State",2015,Dr. Akindele,Infectious Diseases
Longitudinal Investigation of Chemical Pesticide Use Patterns and Chronic Health Effects Among Residents of Ede Local Government,"pesticide, chemical exposure, agricultural workers, chronic health, Osun",2018,Dr. Agboola,Environmental Health
Community-Based Study on Multilevel Modelling of Determinants of Child Mortality in Southwest Nigerian Communities Among Residents of Ede Local Government,"multilevel modelling, child mortality, determinants, Southwest Nigeria, biostatistics",2016,Prof. Adeleke,Biostatistics
Comparative Study of Knowledge and Practice of Family Planning Methods Among Residents of Ife North Local Government,"family planning, knowledge, practice, married women, Ife Central",2015,Dr. Akindele,Maternal & Child Health
Longitudinal Investigation of Policy Implementation Fidelity of the Integrated Disease Surveillance Response System in Nigeria Among Residents of Ife East Local Government,"IDSR, policy implementation, disease surveillance, fidelity, Nigeria",2021,Prof. Adesanya,Health Policy
Hospital-Based Assessment of Developing a Predictive Scoring Tool for Maternal Complications Using Routine Obstetric Data Nigeria Among Residents of Ejigbo Local Government,"predictive scoring, maternal complications, routine data, obstetric, Nigeria",2019,Dr. Igwe,Biostatistics
A Cross-Sectional Study of Mercury Exposure and Health Risk Assessment Among Residents of Ejigbo Local Government,"mercury exposure, gold mining, health risk, artisanal, Osun State",2019,Prof. Afolabi,Environmental Health
Hospital-Based Assessment of Community Perception of Caesarean Section and Its Effect on Surgical Birth Rate in Osun State Among Residents of Ejigbo Local Government,"caesarean section, community perception, surgical birth rate, Osun, Nigeria",2015,Prof. Adeleke,Maternal & Child Health
Comparative Study of Tuberculosis Treatment Default Rate and Associated Factors in DOTS Centres Osun State Nigeria Among Residents of Boripe Local Government,"tuberculosis, treatment default, DOTS, Osun State, associated factors",2019,Prof. Ogunleye,Infectious Diseases
Community-Based Study on Prevalence and Genotyping of Human Papillomavirus Among Residents of Ejigbo Local Government,"human papillomavirus, cervical cancer, genotyping, screening, prevalence",2020,Prof. Bankole,Infectious Diseases
Longitudinal Investigation of Assessment of Toilet Facilities Adequacy and Sanitation-Related Diseases in Rural Osun Communities Among Residents of Ife North Local Government,"toilet facilities, sanitation, rural, diseases, assessment",2019,Prof. Eze,Environmental Health
Burden and Distribution of Schistosomiasis Among School-Age Children in Rural Osun Communities,"schistosomiasis, children, distribution, burden, rural",2021,Prof. Eze,Epidemiology
Retrospective Review of Epidemiology of Salmonella Infections and Outbreak Investigation in Osun State Communities Among Residents of Ife North Local Government,"Salmonella, infections, outbreak investigation, Osun State, epidemiology",2017,Dr. Oluwaseun,Infectious Diseases
Community-Based Study on Evaluation of Community Health Workers Policy and Its Impact on Rural Health Outcomes Among Residents of Ilesa Local Government,"community health workers, policy evaluation, rural health, outcomes",2022,Prof. Adewale,Health Policy
Retrospective Review of Disease Burden of Sickle Cell Disorder Among Residents of Osogbo Local Government,"sickle cell, disease burden, university students, UNIOSUN",2019,Dr. Oluwaseun,Epidemiology
Retrospective Review of Maternal Mortality Ratio and Causes of Death in Osun State Teaching Hospitals from 2015 to 2020 Among Residents of Ilesa Local Government,"maternal mortality, causes of death, teaching hospital, Osun State, ratio",2022,Dr. Salawu,Maternal & Child Health
Comparative Study of Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities Among Residents of Ilesha Local Government,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2015,Prof. Onyeka,Biostatistics
Evaluation of Community Health Workers Policy and Its Impact on Rural Health Outcomes,"community health workers, policy evaluation, rural health, outcomes",2016,Prof. Bankole,Health Policy
A Descriptive Analysis of Multilevel Modelling of Determinants of Child Mortality in Southwest Nigerian Communities Among Residents of Ife North Local Government,"multilevel modelling, child mortality, determinants, Southwest Nigeria, biostatistics",2018,Prof. Ogunleye,Biostatistics
Comparative Study of Gonorrhoea and Syphilis Co-Infection Prevalence Among Residents of Ilesa Local Government,"gonorrhoea, syphilis, co-infection, antenatal clinic, Osogbo",2021,Prof. Obiora,Infectious Diseases
An Exploratory Analysis of Contact Tracing Effectiveness and Outcomes in Tuberculosis Case Detection in Osun State Nigeria Among Residents of Ejigbo Local Government,"contact tracing, tuberculosis, case detection, outcomes, Osun State",2020,Dr. Akindele,Infectious Diseases
Hospital-Based Assessment of Epidemiological Profile of Diabetes Mellitus Patients Attending Primary Healthcare Centers in Osun Among Residents of Osogbo Local Government,"diabetes mellitus, epidemiology, primary healthcare, Osun State",2020,Prof. Fasola,Epidemiology
Longitudinal Investigation of Receiver Operating Characteristic Curve Analysis for Predicting Severe Malaria in Children Nigeria Among Residents of Ede Local Government,"ROC curve, severe malaria, prediction, children, Nigeria",2019,Prof. Afolabi,Biostatistics
A Descriptive Analysis of Factor Analysis of Health System Barriers to Maternal Healthcare Utilization in Rural Osun State Among Residents of Ife South Local Government,"factor analysis, health system barriers, maternal healthcare, rural, Osun",2020,Prof. Adewale,Biostatistics
Time Series Analysis of Seasonal Malaria Trends in Osun State Using ARIMA Models,"time series, ARIMA, seasonal malaria, trends, Osun State",2016,Dr. Agboola,Biostatistics
A Descriptive Analysis of Survival Analysis of Time-to-Death Among Residents of Ife East Local Government,"survival analysis, HIV, antiretroviral therapy, time-to-death, Osun State",2017,Prof. Fasola,Biostatistics
Community-Based Study on Factors Associated with Recurrent Malaria Episodes Among Residents of Ife South Local Government,"recurrent malaria, under-five, risk factors, Osun State, episodes",2018,Prof. Emeka,Infectious Diseases
Under-Five Malnutrition Prevalence and Its Relationship with Household Food Security in Nigeria,"malnutrition, under-five, food security, household, Nigeria",2015,Prof. Adebayo,Maternal & Child Health
Longitudinal Investigation of Bayesian Statistical Approach for Small Area Estimation of Disease Burden in Osun State Communities Among Residents of Ife South Local Government,"Bayesian statistics, small area estimation, disease burden, Osun, communities",2015,Dr. Olayinka,Biostatistics
Retrospective Review of Evaluation of Food Safety Practices in Open-Air Markets and Restaurants in Osogbo Metropolis Among Residents of Ife North Local Government,"food safety, open-air markets, restaurants, evaluation, Osogbo",2016,Dr. Akinwande,Environmental Health
Evaluation of Food Safety Practices in Open-Air Markets and Restaurants in Osogbo Metropolis,"food safety, open-air markets, restaurants, evaluation, Osogbo",2020,Dr. Agboola,Environmental Health
Longitudinal Investigation of Analysis of Drug Procurement Policy and Essential Medicines Availability at Public Health Facilities Among Residents of Boripe Local Government,"drug procurement, essential medicines, policy, availability, public health",2022,Prof. Eze,Health Policy
A Descriptive Analysis of Structural Equation Modelling of Social Determinants Affecting Health Outcomes in Osun State Nigeria Among Residents of Ife East Local Government,"structural equation modelling, social determinants, health outcomes, Osun, Nigeria",2015,Prof. Adebayo,Biostatistics
A Cross-Sectional Study of Occupational Hazard Exposure and Health Outcomes Among Residents of Ife North Local Government,"occupational hazard, automobile mechanics, health outcomes, exposure, Osogbo",2018,Dr. Agboola,Environmental Health
Community-Based Study on Impact of Free Maternal Health Policy on Antenatal Care Utilization in Osun State Nigeria Among Residents of Boripe Local Government,"maternal health policy, antenatal care, utilization, free health, Osun",2015,Prof. Bankole,Health Policy
Dengue Fever Seroprevalence and Associated Risk Factors in Flood-Prone Areas of Osun State,"dengue fever, seroprevalence, flood-prone, risk factors, Osun",2016,Prof. Adeoti,Epidemiology
Community-Based Study on Sensitivity and Specificity Analysis of Diagnostic Tests for Malaria in UNIOSUN Teaching Hospital Among Residents of Ilesa Local Government,"sensitivity, specificity, diagnostic tests, malaria, UNIOSUN",2015,Prof. Emeka,Biostatistics
An Exploratory Analysis of Environmental Assessment of Noise Pollution and Hearing Loss Risk Near Industrial Zones in Osogbo Among Residents of Ife East Local Government,"noise pollution, hearing loss, industrial zones, environmental assessment, Osogbo",2019,Dr. Babatunde,Environmental Health
Comparative Study of Prevalence of Hepatitis C Virus Antibodies Among Residents of Ife South Local Government,"hepatitis C, prevalence, antibodies, surgical wards, Osogbo",2022,Dr. Nwachukwu,Infectious Diseases
Comparative Study of Tuberculosis Treatment Default Rate and Associated Factors in DOTS Centres Osun State Nigeria Among Residents of Ife East Local Government,"tuberculosis, treatment default, DOTS, Osun State, associated factors",2017,Dr. Salawu,Infectious Diseases
A Cross-Sectional Study of Effectiveness of the Basic Healthcare Provision Fund in Strengthening Primary Health Centers Among Residents of Boripe Local Government,"basic healthcare fund, PHC, effectiveness, primary health, strengthening",2015,Dr. Nwachukwu,Health Policy
Health Financing Strategies and Their Effect on Out-of-Pocket Expenditure in Osun State,"health financing, out-of-pocket, expenditure, Osun State, strategy",2020,Dr. Akindele,Health Policy
A Cross-Sectional Study of Assessment of Primary Healthcare Governance and Accountability Mechanisms in Southwest Nigeria Among Residents of Ede Local Government,"primary healthcare, governance, accountability, Southwest Nigeria, policy",2016,Prof. Ogunleye,Health Policy
Regulatory Framework for Traditional Medicine Practice in Osun State Health Policy Context,"traditional medicine, regulation, policy, Osun State, practice",2018,Dr. Babatunde,Health Policy
Longitudinal Investigation of Nutritional Status and Cognitive Development Among Residents of Boripe Local Government,"nutritional status, cognitive development, primary school, children, Osun",2017,Prof. Afolabi,Maternal & Child Health
Comparative Study of Assessment of Household Water Quality and Waterborne Disease Risk in Peri-Urban Osogbo Nigeria Among Residents of Ede Local Government,"water quality, household, waterborne disease, peri-urban, Osogbo",2015,Dr. Okonkwo,Environmental Health
Hospital-Based Assessment of Evaluation of Food Safety Practices in Open-Air Markets and Restaurants in Osogbo Metropolis Among Residents of Boripe Local Government,"food safety, open-air markets, restaurants, evaluation, Osogbo",2021,Prof. Adesanya,Environmental Health
Comparative Study of Epidemiological Investigation of Malaria Burden Among Residents of Ede Local Government,"malaria, children, epidemiology, rural, Nigeria",2016,Prof. Okafor,Epidemiology
Longitudinal Investigation of Impact of Open Defecation on Child Diarrhoeal Diseases in Rural Communities of Osun State Among Residents of Iwo Local Government,"open defecation, diarrhoea, children, rural, sanitation",2015,Dr. Olayinka,Environmental Health
A Cross-Sectional Study of Gestational Diabetes Prevalence and Management Practices Among Residents of Ife North Local Government,"gestational diabetes, prevalence, management, pregnant women, Osogbo",2019,Prof. Fasola,Maternal & Child Health
Comparative Study of Prevalence and Genotyping of Human Papillomavirus Among Residents of Boripe Local Government,"human papillomavirus, cervical cancer, genotyping, screening, prevalence",2019,Dr. Nnamdi,Infectious Diseases
Retrospective Review of Nutritional Status and Cognitive Development Among Residents of Ilesa Local Government,"nutritional status, cognitive development, primary school, children, Osun",2015,Dr. Nwachukwu,Maternal & Child Health
Comparative Study of Survival Analysis of Time-to-Death Among Residents of Ife South Local Government,"survival analysis, HIV, antiretroviral therapy, time-to-death, Osun State",2021,Dr. Akinwande,Biostatistics
An Exploratory Analysis of Infant and Young Child Feeding Practices Among Residents of Iwo Local Government,"infant feeding, young child, practices, urban mothers, Osogbo",2018,Dr. Okonkwo,Maternal & Child Health
An Exploratory Analysis of Assessment of Kangaroo Mother Care Practice and Neonatal Outcomes in Osun State Hospitals Among Residents of Iwo Local Government,"kangaroo mother care, neonatal outcomes, practice, Osun State, hospitals",2019,Prof. Fasola,Maternal & Child Health
An Exploratory Analysis of Sample Size Determination and Power Analysis in Public Health Research Studies at Nigerian Universities Among Residents of Boripe Local Government,"sample size, power analysis, public health research, Nigeria, biostatistics",2015,Dr. Oluwaseun,Biostatistics
Retrospective Review of Knowledge and Practice of Family Planning Methods Among Residents of Iwo Local Government,"family planning, knowledge, practice, married women, Ife Central",2018,Prof. Nwosu,Maternal & Child Health
Prevalence and Genotyping of Human Papillomavirus Among Women Attending Cervical Cancer Screening,"human papillomavirus, cervical cancer, genotyping, screening, prevalence",2021,Dr. Chukwu,Infectious Diseases
Hospital-Based Assessment of Knowledge Attitude and Practice Regarding Lassa Fever Prevention Among Residents of Ilesa Local Government,"Lassa fever, knowledge, attitude, practice, healthcare workers",2016,Prof. Adeoti,Infectious Diseases
Community-Based Study on Trend Analysis of Tuberculosis Case Notifications in Osun State Over a Ten-Year Period Among Residents of Iwo Local Government,"tuberculosis, trend analysis, case notification, Osun State",2022,Dr. Nwachukwu,Epidemiology
Retrospective Review of Prevalence and Genotyping of Human Papillomavirus Among Residents of Osogbo Local Government,"human papillomavirus, cervical cancer, genotyping, screening, prevalence",2015,Dr. Salawu,Infectious Diseases
Comparative Study of Occupational Hazard Exposure and Health Outcomes Among Residents of Ife South Local Government,"occupational hazard, automobile mechanics, health outcomes, exposure, Osogbo",2019,Prof. Adesanya,Environmental Health
A Descriptive Analysis of Time Series Analysis of Seasonal Malaria Trends in Osun State Using ARIMA Models Among Residents of Ife South Local Government,"time series, ARIMA, seasonal malaria, trends, Osun State",2019,Prof. Adebayo,Biostatistics
Longitudinal Investigation of Gonorrhoea and Syphilis Co-Infection Prevalence Among Residents of Ilesa Local Government,"gonorrhoea, syphilis, co-infection, antenatal clinic, Osogbo",2019,Dr. Akinwande,Infectious Diseases
Evaluation of Drinking Water Treatment Practices in Households of Peri-Urban Osun State Communities,"drinking water, treatment practices, households, peri-urban, Osun",2022,Dr. Akindele,Environmental Health
Longitudinal Investigation of Multidrug-Resistant Tuberculosis Prevalence and Treatment Outcomes in Southwest Nigeria Hospitals Among Residents of Osogbo Local Government,"multidrug-resistant tuberculosis, MDR-TB, prevalence, treatment, Southwest Nigeria",2018,Dr. Okonkwo,Infectious Diseases
A Cross-Sectional Study of Intersectoral Collaboration for Social Determinants of Health Policy in Southwest Nigeria Among Residents of Ilesha Local Government,"intersectoral collaboration, social determinants, health policy, Southwest Nigeria",2021,Prof. Adewale,Health Policy
Community-Based Study on Stakeholder Perceptions of Universal Health Coverage Implementation in Osun State Nigeria Among Residents of Ejigbo Local Government,"universal health coverage, stakeholders, perceptions, implementation, Nigeria",2022,Dr. Babatunde,Health Policy
COVID-19 Infection Patterns and Mortality Outcomes in Osun State Isolation Centers 2020-2021,"COVID-19, infection patterns, mortality, isolation centers, Osun State",2022,Dr. Nnamdi,Infectious Diseases
Hospital-Based Assessment of Analysis of Drug Procurement Policy and Essential Medicines Availability at Public Health Facilities Among Residents of Ife North Local Government,"drug procurement, essential medicines, policy, availability, public health",2019,Dr. Nwachukwu,Health Policy
An Exploratory Analysis of Under-Five Malnutrition Prevalence and Its Relationship with Household Food Security in Nigeria Among Residents of Ilesha Local Government,"malnutrition, under-five, food security, household, Nigeria",2017,Dr. Salawu,Maternal & Child Health
An Exploratory Analysis of Systematic Review and Meta-Analysis of Hypertension Prevalence Studies in Southwest Nigeria Among Residents of Boripe Local Government,"systematic review, meta-analysis, hypertension, prevalence, Southwest Nigeria",2019,Prof. Emeka,Biostatistics
Hospital-Based Assessment of Assessment of Childhood Immunization Against Vaccine-Preventable Diseases in UNIOSUN Catchment Areas Among Residents of Ilesha Local Government,"childhood immunization, vaccine-preventable diseases, UNIOSUN, catchment area",2020,Prof. Okafor,Infectious Diseases
A Cross-Sectional Study of National Health Act Implementation Status and Implications for Healthcare Delivery in Nigeria Among Residents of Ilesa Local Government,"National Health Act, implementation, healthcare delivery, Nigeria, implications",2022,Dr. Salawu,Health Policy
Hospital-Based Assessment of Burden and Distribution of Schistosomiasis Among Residents of Ejigbo Local Government,"schistosomiasis, children, distribution, burden, rural",2016,Dr. Oluwaseun,Epidemiology
Heavy Metal Contamination of Borehole Water Sources in Industrial Areas of Osun State Nigeria,"heavy metals, borehole, contamination, industrial, water safety",2018,Dr. Nwachukwu,Environmental Health
Retrospective Review of Kaplan-Meier Analysis of Survival Among Residents of Iwo Local Government,"Kaplan-Meier, survival analysis, tuberculosis, DOTS, Osun State",2017,Prof. Obiora,Biostatistics
Retrospective Review of Community-Level HIV Stigma and Its Effect on Treatment Adherence Among Residents of Ife East Local Government,"HIV stigma, treatment adherence, community, PLHIV, effect",2015,Dr. Salawu,Infectious Diseases
A Cross-Sectional Study of Application of Logistic Regression in Predicting Malaria Risk Factors Among Residents of Ife East Local Government,"logistic regression, malaria risk, prediction, children, biostatistics",2021,Dr. Okonkwo,Biostatistics
Hospital-Based Assessment of Community-Based Assessment of Stroke Risk Factors Among Residents of Boripe Local Government,"stroke, risk factors, elderly, community, Ife North",2021,Prof. Okafor,Epidemiology
Longitudinal Investigation of Knowledge Attitude and Practice Regarding Lassa Fever Prevention Among Residents of Ife South Local Government,"Lassa fever, knowledge, attitude, practice, healthcare workers",2022,Prof. Fasola,Infectious Diseases
HIV Seroprevalence and Risk Behavior Among Female Sex Workers in Osogbo Metropolis Nigeria,"HIV, seroprevalence, risk behavior, female sex workers, Osogbo",2022,Dr. Salawu,Infectious Diseases
A Cross-Sectional Study of Developing a Predictive Scoring Tool for Maternal Complications Using Routine Obstetric Data Nigeria Among Residents of Boripe Local Government,"predictive scoring, maternal complications, routine data, obstetric, Nigeria",2020,Prof. Adebayo,Biostatistics
Retrospective Review of Under-Five Malnutrition Prevalence and Its Relationship with Household Food Security in Nigeria Among Residents of Ilesa Local Government,"malnutrition, under-five, food security, household, Nigeria",2018,Prof. Emeka,Maternal & Child Health
Review of Immunization Policy Compliance and Vaccination Coverage in Osun State Communities,"immunization policy, compliance, vaccination coverage, Osun, communities",2022,Prof. Adeleke,Health Policy
Indoor Air Pollution from Biomass Fuel Use and Respiratory Health Among Women in Rural Osun,"indoor air pollution, biomass fuel, respiratory health, women, rural",2020,Prof. Onyeka,Environmental Health
Seroprevalence of Hepatitis B Virus Infection Among Blood Donors in Osun State Teaching Hospitals,"hepatitis B, seroprevalence, blood donors, teaching hospital",2022,Dr. Adeyemi,Epidemiology
Application of Logistic Regression in Predicting Malaria Risk Factors Among Children in Osun State,"logistic regression, malaria risk, prediction, children, biostatistics",2017,Dr. Abiodun,Biostatistics
A Descriptive Analysis of Factors Associated with Recurrent Malaria Episodes Among Residents of Ife East Local Government,"recurrent malaria, under-five, risk factors, Osun State, episodes",2021,Dr. Folarin,Infectious Diseases
Retrospective Review of Tobacco Control Policy Awareness and Compliance Among Residents of Iwo Local Government,"tobacco control, policy compliance, market vendors, Osogbo, awareness",2015,Dr. Olayinka,Health Policy
A Cross-Sectional Study of Sample Size Determination and Power Analysis in Public Health Research Studies at Nigerian Universities Among Residents of Ife South Local Government,"sample size, power analysis, public health research, Nigeria, biostatistics",2018,Dr. Adeyemi,Biostatistics
Community-Based Study on Sanitation Conditions and Hygiene Practices in Public Primary Schools of Osun State Nigeria Among Residents of Ilesa Local Government,"sanitation, hygiene, primary schools, public schools, Osun State",2018,Prof. Onyeka,Environmental Health
Longitudinal Investigation of Spatial Analysis of Malaria Incidence Using Geographic Information Systems in Osun State Among Residents of Ife South Local Government,"spatial analysis, GIS, malaria incidence, Osun State, geographic",2021,Dr. Akinwande,Biostatistics
Prevalence of Overweight and Obesity Among Secondary School Adolescents in Osogbo Nigeria,"overweight, obesity, adolescents, secondary school, Osogbo",2021,Dr. Okonkwo,Epidemiology
A Cross-Sectional Study of Structural Equation Modelling of Social Determinants Affecting Health Outcomes in Osun State Nigeria Among Residents of Ede Local Government,"structural equation modelling, social determinants, health outcomes, Osun, Nigeria",2019,Dr. Babatunde,Biostatistics
Community-Based Study on Dengue Fever Seroprevalence and Associated Risk Factors in Flood-Prone Areas of Osun State Among Residents of Ife South Local Government,"dengue fever, seroprevalence, flood-prone, risk factors, Osun",2022,Prof. Okafor,Epidemiology
Epidemiological Profile of Diabetes Mellitus Patients Attending Primary Healthcare Centers in Osun,"diabetes mellitus, epidemiology, primary healthcare, Osun State",2016,Prof. Obiora,Epidemiology
Community-Based Study on Epidemiology of Mental Health Disorders Among Residents of Iwo Local Government,"mental health, epidemiology, adults, general hospital, disorders",2022,Prof. Ogunleye,Epidemiology
A Descriptive Analysis of Antiretroviral Therapy Adherence and Viral Load Suppression Among Residents of Ejigbo Local Government,"antiretroviral therapy, adherence, viral load, HIV patients, Osun State",2016,Dr. Akindele,Infectious Diseases
A Cross-Sectional Study of Intersectoral Collaboration for Social Determinants of Health Policy in Southwest Nigeria Among Residents of Ife South Local Government,"intersectoral collaboration, social determinants, health policy, Southwest Nigeria",2021,Dr. Babatunde,Health Policy
